Site Name,Field Name,Field Name Version,Block Name,Bed Number,Bed Length,1st Rotation Planting Name,1st Rotation Crop,1st Rotation Start Date,1st Rotation End Date,2nd Rotation Planting Name,2nd Rotation Crop,2nd Rotation Start Date,2nd Rotation End Date,3rd Rotation Planting Name,3rd Rotation Crop,3rd Rotation Start Date,3rd Rotation End Date,4th Rotation Planting Name,4th Rotation Crop,4th Rotation Start Date,4th Rotation End Date,5th Rotation Planting Name,5th Rotation Crop,5th Rotation Start Date,5th Rotation End Date,6th Rotation Planting Name,6th Rotation Crop,6th Rotation Start Date,6th Rotation End Date,7th Rotation Planting Name,7th Rotation Crop,7th Rotation Start Date,7th Rotation End Date,8th Rotation Planting Name,8th Rotation Crop,8th Rotation Start Date,8th Rotation End Date,9th Rotation Planting Name,9th Rotation Crop,9th Rotation Start Date,9th Rotation End Date,10th Rotation Planting Name,10th Rotation Crop,10th Rotation Start Date,10th Rotation End Date,11th Rotation Planting Name,11th Rotation Crop,11th Rotation Start Date,11th Rotation End Date,12th Rotation Planting Name,12th Rotation Crop,12th Rotation Start Date,12th Rotation End Date,13th Rotation Planting Name,13th Rotation Crop,13th Rotation Start Date,13th Rotation End Date
Ramim,Ra.3,,R2,19,,"Celeriac, Generic Variety",Celeriac,30/10/2018,29/05/2019,"Corn, Sweet, Vanila, Standard",Corn,03/06/2019,28/08/2019,"Lettuce, Romaine, hyd. ערבית - נהורה נטע, Full-Size",Lettuce,08/10/2019,06/02/2020,"Lettuce, Bibb, מסולסלת מעורב, Full-Size",Lettuce,24/12/2019,27/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R2,20,,"Kohlrabi, Generic Variety, Full-Size",Kohlrabi,15/12/2018,10/05/2019,"Winter Squash, Generic Variety",Winter Squash,18/04/2019,29/08/2019,"Chard, Silverado, Full-Size",Chard,09/10/2019,13/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R2,21,,"Beans: Fava, Generic Variety, Fresh Shelling",Beans: Fava,01/11/2018,29/04/2019,"Melons, Hustan - הוסטאן",Melons,10/04/2019,02/09/2019,"Peas, Snow, De Grace, Full-Size",Peas,18/11/2019,10/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R2,22,,"Cucumbers, Facus - פאקוס",Cucumbers,29/05/2019,08/09/2019,"Corn, Sweet, Vanila, Standard",Corn,29/05/2019,29/08/2019,"Lettuce, Bibb, מסולסלת מעורב, Full-Size",Lettuce,28/11/2019,17/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R2,23,,"Broccoli, Heading, Generic Variety, Head",Broccoli,04/12/2018,13/05/2019,"Corn, Sweet, Vanila, Standard",Corn,15/05/2019,29/08/2019,"Kohlrabi, Generic Variety, Full-Size",Kohlrabi,28/11/2019,16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R2,24,,"Cauliflower, Generic Variety, Full-Size",Cauliflower,04/12/2018,16/05/2019,"Corn, Sweet, Vanila, Standard",Corn,06/05/2019,26/08/2019,"Peas, Snow, De Grace, Full-Size",Peas,18/11/2019,10/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R2,25,,"Cabbage, Generic Variety, Full-Size",Cabbage,04/12/2018,22/04/2019,"Melons, Hustan - הוסטאן",Melons,28/03/2019,09/09/2019,"Garlic, Hardneck, שני - מהגינה, Bulb",Garlic,17/10/2019,22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R2,26,,"Beets, Generic Variety, Full-Size Root",Beets,10/12/2018,22/04/2019,"Corn, Sweet, Vanila, Standard",Corn,29/04/2019,19/08/2019,"Garlic, Hardneck, שני - מהגינה, Bulb",Garlic,17/10/2019,22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R2,27,,"Broccoli, Heading, Generic Variety, Head",Broccoli,18/12/2018,06/06/2019,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,17/01/2019,06/06/2019,"Corn, Sweet, Vanila, Standard",Corn,12/06/2019,28/08/2019,"Garlic, Hardneck, שני - מהגינה, Bulb",Garlic,17/10/2019,22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R2,28,,"Fennel, Generic Variety, Full-Size",Fennel,11/10/2018,22/04/2019,"Lettuce, Romaine, Generic Variety, Full-Size",Lettuce,14/03/2019,20/06/2019,"Corn, Sweet, Vanila, Standard",Corn,24/06/2019,28/08/2019,"Garlic, Hardneck, שני - מהגינה, Bulb",Garlic,17/10/2019,22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R3,29,,"Beets, Generic Variety, Full-Size Root",Beets,12/11/2018,24/05/2019,"Tomatoes, Slicer, Generic Variety, Ripe",Tomatoes,16/05/2019,26/09/2019,"Peas, Snow, De Grace, Full-Size",Peas,28/10/2019,01/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R3,30,,"Fennel, Generic Variety, Full-Size",Fennel,13/12/2018,13/05/2019,"Radishes, French Breakfast, Full-Size",Radishes,25/02/2019,15/04/2019,"Tomatoes, Paste, Galila - מסיימת, Ripe",Tomatoes,22/04/2019,19/09/2019,"Peas, Snow, De Grace, Full-Size",Peas,28/10/2019,01/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R3,31,,"Winter Squash, Generic Variety",Winter Squash,11/03/2019,26/07/2019,"Summer Squash, Patty Pan, Benning's Green Tint Scallop",Summer Squash,03/04/2019,24/07/2019,"Onions, White, Generic Variety, Full-Size",Onions,23/10/2019,10/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R3,32,,"Winter Squash, Generic Variety",Winter Squash,29/01/2019,09/09/2019,"Onions, White, Generic Variety, Full-Size",Onions,23/10/2019,10/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R3,33,,"Lettuce, Romaine, hyd. ערבית - נהורה נטע, Full-Size",Lettuce,18/11/2019,30/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R3,34,,"Lettuce, Bibb, מסולסלת מעורב, Full-Size",Lettuce,18/11/2019,30/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R3,35,,"Lettuce, Bibb, מסולסלת מעורב, Full-Size",Lettuce,18/11/2019,30/03/2020,"Lettuce, Romaine, hyd. ערבית - נהורה נטע, Full-Size",Lettuce,18/11/2019,30/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R3,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.4,,Lo24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.4,,Lo24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.4,,Lo18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.4,,Lo18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.4,,Lo18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.4,,Lo18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.4,,Lo12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.4,,Lo12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.4,,Lo12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,side,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,side,,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,side,,200,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,side,,300,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zA,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zA,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zA,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zA,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zA,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zA,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zA,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zA,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zA,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zA,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zA,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zB,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zB,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zB,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zB,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zB,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zB,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zB,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zB,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zB,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zB,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zB,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,zB,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zvika,Zvika,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
